,Cerebellum,Cortex,Gonadal,Hippocampus,Liver,Striatum,Cerebellum_values,Cortex_values,Gonadal_values,Hippocampus_values,Liver_values,Striatum_values
ENSMUSG00000000028,0,1,0,1,1,0,0.0,0.8333333333333335,0.0,0.8571428571428573,0.8928571428571429,0.0
ENSMUSG00000000125,0,1,0,1,0,0,0.0,0.9047619047619048,0.0,0.8928571428571429,0.0,0.0
ENSMUSG00000000148,0,1,0,0,0,1,0.0,0.8095238095238096,0.0,0.0,0.0,0.8999999999999998
ENSMUSG00000000263,1,1,0,0,0,0,-0.8333333333333335,-0.8333333333333335,0.0,0.0,0.0,0.0
ENSMUSG00000000290,0,1,0,1,0,0,0.0,0.9047619047619048,0.0,0.9642857142857145,0.0,0.0
ENSMUSG00000000441,0,1,0,0,1,1,0.0,0.8095238095238096,0.0,0.0,0.8571428571428573,0.8999999999999998
ENSMUSG00000000627,0,1,0,1,0,0,0.0,0.880952380952381,0.0,0.8571428571428573,0.0,0.0
ENSMUSG00000000782,1,1,0,1,0,0,-0.8333333333333335,-0.880952380952381,0.0,0.8928571428571429,0.0,0.0
ENSMUSG00000000791,0,1,0,1,0,0,0.0,0.8095238095238096,0.0,0.9642857142857145,0.0,0.0
ENSMUSG00000001062,0,1,1,0,0,0,0.0,0.8095238095238096,0.8214285714285715,0.0,0.0,0.0
ENSMUSG00000001098,0,1,0,1,0,0,0.0,0.8095238095238096,0.0,0.9642857142857145,0.0,0.0
ENSMUSG00000001175,0,1,1,0,0,1,0.0,-0.8333333333333335,0.8571428571428573,0.0,0.0,-0.9999999999999999
ENSMUSG00000001436,0,1,0,0,1,1,0.0,0.8571428571428572,0.0,0.0,0.8928571428571429,0.8999999999999998
ENSMUSG00000001751,0,1,0,0,0,1,0.0,0.8095238095238096,0.0,0.0,0.0,0.9999999999999999
ENSMUSG00000002105,0,1,0,0,0,1,0.0,0.8095238095238096,0.0,0.0,0.0,0.8999999999999998
ENSMUSG00000002147,1,1,0,0,0,0,-0.8333333333333335,0.9761904761904763,0.0,0.0,0.0,0.0
ENSMUSG00000002835,0,1,0,0,0,1,0.0,0.8095238095238096,0.0,0.0,0.0,0.8999999999999998
ENSMUSG00000002870,0,1,0,0,0,1,0.0,0.8095238095238096,0.0,0.0,0.0,0.8999999999999998
ENSMUSG00000002910,0,1,0,1,1,0,0.0,0.880952380952381,0.0,0.9642857142857145,0.8571428571428573,0.0
ENSMUSG00000003166,0,1,0,0,0,1,0.0,0.8333333333333335,0.0,0.0,0.0,0.8999999999999998
ENSMUSG00000003458,0,1,1,0,0,1,0.0,0.8095238095238096,0.8571428571428573,0.0,0.0,0.8999999999999998
ENSMUSG00000003534,0,1,0,1,0,1,0.0,0.8095238095238096,0.0,0.8214285714285715,0.0,0.8999999999999998
ENSMUSG00000003974,0,1,0,0,0,1,0.0,-0.880952380952381,0.0,0.0,0.0,-0.8999999999999998
ENSMUSG00000004035,1,1,0,0,0,0,-0.9523809523809524,-0.9285714285714287,0.0,0.0,0.0,0.0
ENSMUSG00000004558,1,1,0,0,0,0,-0.8571428571428572,-0.8571428571428572,0.0,0.0,0.0,0.0
ENSMUSG00000005045,0,1,0,0,0,1,0.0,0.880952380952381,0.0,0.0,0.0,0.8999999999999998
ENSMUSG00000005142,0,1,0,0,0,1,0.0,0.8095238095238096,0.0,0.0,0.0,0.8999999999999998
ENSMUSG00000005373,0,1,0,0,1,0,0.0,0.8571428571428572,0.0,0.0,0.8571428571428573,0.0
ENSMUSG00000006522,0,1,1,1,0,0,0.0,-0.9761904761904763,0.8571428571428573,-0.8571428571428573,0.0,0.0
ENSMUSG00000006764,0,1,0,1,0,0,0.0,0.8333333333333335,0.0,0.8214285714285715,0.0,0.0
ENSMUSG00000006958,1,1,0,0,0,0,-0.8333333333333335,0.8095238095238096,0.0,0.0,0.0,0.0
ENSMUSG00000007029,1,1,0,0,1,0,-0.8333333333333335,0.8095238095238096,0.0,0.0,0.9285714285714288,0.0
ENSMUSG00000007656,0,1,0,0,0,1,0.0,-0.9047619047619048,0.0,0.0,0.0,-0.8999999999999998
ENSMUSG00000008435,0,1,0,0,0,1,0.0,0.8095238095238096,0.0,0.0,0.0,0.9999999999999999
ENSMUSG00000009566,0,1,0,1,0,0,0.0,0.880952380952381,0.0,0.8928571428571429,0.0,0.0
ENSMUSG00000009894,0,1,1,0,0,0,0.0,0.8095238095238096,0.8571428571428573,0.0,0.0,0.0
ENSMUSG00000010110,0,1,0,0,0,1,0.0,0.8095238095238096,0.0,0.0,0.0,0.8999999999999998
ENSMUSG00000013465,0,1,0,1,0,0,0.0,0.880952380952381,0.0,0.8214285714285715,0.0,0.0
ENSMUSG00000013495,0,1,0,1,0,0,0.0,0.880952380952381,0.0,0.8928571428571429,0.0,0.0
ENSMUSG00000014748,0,1,0,1,0,0,0.0,0.8095238095238096,0.0,0.9642857142857145,0.0,0.0
